iter	Passed	Remaining
726	11665	4380
727	11681	4364
728	11698	4348
729	11717	4333
730	11736	4319
731	11757	4304
732	11773	4288
733	11791	4273
734	11804	4256
735	11820	4239
736	11836	4223
737	11850	4207
738	11867	4191
739	11884	4175
740	11901	4159
741	11918	4144
742	11936	4128
743	11951	4112
744	11966	4095
745	11979	4078
746	11996	4063
747	12014	4047
748	12030	4031
749	12047	4015
750	12064	4000
751	12080	3984
752	12095	3967
753	12107	3950
754	12126	3935
755	12141	3918
756	12155	3901
757	12171	3885
758	12185	3869
759	12206	3854
760	12223	3838
761	12238	3822
762	12255	3806
763	12271	3790
764	12285	3774
765	12299	3757
766	12318	3741
767	12332	3725
768	12353	3710
769	12371	3695
770	12389	3680
771	12404	3663
772	12424	3648
773	12438	3632
774	12455	3616
775	12473	3600
776	12489	3584
777	12501	3567
778	12515	3550
779	12530	3534
780	12551	3519
781	12566	3503
782	12581	3486
783	12594	3469
784	12610	3453
785	12625	3437
786	12642	3421
787	12658	3405
788	12677	3390
789	12696	3374
790	12716	3360
791	12732	3343
792	12746	3327
793	12763	3311
794	12782	3296
795	12795	3279
796	12809	3262
797	12826	3246
798	12842	3230
799	12854	3213
800	12870	3197
801	12886	3181
802	12901	3165
803	12917	3149
804	12933	3133
805	12950	3117
806	12966	3101
807	12982	3085
808	12996	3068
809	13013	3052
810	13030	3036
811	13050	3021
812	13067	3005
813	13082	2989
814	13097	2973
815	13114	2957
816	13129	2940
817	13141	2923
818	13159	2908
819	13178	2892
820	13193	2876
821	13208	2860
822	13226	2844
823	13243	2828
824	13262	2813
825	13278	2797
826	13300	2782
827	13323	2767
828	13339	2751
829	13354	2735
830	13372	2719
831	13387	2703
832	13402	2686
833	13424	2672
834	13444	2656
835	13461	2640
836	13478	2624
837	13501	2610
838	13518	2594
839	13539	2578
840	13556	2563
841	13573	2547
842	13588	2530
843	13601	2514
844	13618	2498
845	13634	2481
846	13649	2465
847	13664	2449
848	13683	2433
849	13700	2417
850	13715	2401
851	13732	2385
852	13746	2368
853	13760	2352
854	13775	2336
855	13788	2319
856	13804	2303
857	13820	2287
858	13836	2271
859	13854	2255
860	13868	2238
861	13883	2222
862	13900	2206
863	13915	2190
864	13934	2174
865	13951	2158
866	13969	2142
867	13986	2126
868	14001	2110
869	14019	2094
870	14040	2079
871	14057	2063
872	14072	2047
873	14086	2030
874	14101	2014
875	14115	1998
876	14128	1981
877	14143	1965
878	14156	1948
879	14175	1932
880	14196	1917
881	14213	1901
882	14229	1885
883	14244	1869
884	14259	1852
885	14275	1836
886	14290	1820
